iter	Passed	Remaining
0	2	603
1	3	501
2	5	457
3	7	449
4	8	440
5	9	416
6	11	427
7	13	412
8	14	414
9	16	406
10	18	429
11	20	420
12	22	427
13	24	429
14	26	428
15	27	425
16	29	417
17	30	409
18	31	404
19	33	407
20	35	408
21	37	407
22	39	406
23	41	403
24	42	400
25	43	395
26	45	391
27	46	387
28	49	391
29	51	395
30	53	392
31	54	390
32	56	389
33	58	390
34	60	388
35	61	384
36	63	385
37	65	384
38	67	381
39	69	381
40	71	380
41	73	380
42	75	379
43	77	378
44	79	380
45	81	377
46	82	374
47	85	376
48	86	372
49	87	368
50	89	364
51	90	363
52	92	362
53	94	361
54	97	362
55	98	359
56	100	357
57	101	354
58	103	352
59	105	351
60	106	348
61	108	347
62	110	344
63	112	344
64	114	344
65	116	343
66	118	342
67	120	341
68	123	341
69	125	339
70	128	341
71	130	342
72	133	342
73	135	341
74	137	339
75	140	339
76	143	340
77	145	339
78	147	337
79	149	336
80	151	335
81	153	333
82	155	332
83	157	329
84	159	327
85	161	327
86	164	326
87	166	325
88	168	324
89	170	322
90	173	321
91	174	319
92	176	317
93	179	316
94	181	314
95	183	313
96	185	312
97	188	311
98	190	310
99	193	309
100	195	307
101	197	306
102	200	306
103	204	306
104	206	304
105	208	303
106	211	302
107	213	300
108	215	298
109	217	296
110	219	295
111	221	292
112	223	291
113	225	289
114	228	287
115	230	286
116	232	284
117	235	283
118	237	281
119	240	280
120	242	278
121	243	275
122	245	273
123	248	272
124	250	270
125	252	268
126	253	265
127	255	263
128	257	261
129	259	259
130	261	257
131	263	255
132	265	253
133	267	251
134	269	249
135	271	247
136	274	246
137	276	244
138	278	242
139	280	240
140	282	238
141	285	237
142	287	235
143	289	233
144	291	231
145	293	229
146	296	227
147	298	225
148	300	223
149	302	221
150	304	219
151	305	217
152	308	215
153	310	213
154	312	211
155	314	209
156	316	207
157	317	205
158	319	202
159	320	200
160	323	198
161	325	196
162	327	194
163	329	192
164	331	190
165	333	188
166	335	186
167	337	184
168	339	182
169	341	180
170	343	178
171	345	176
172	347	174
173	349	172
174	351	170
175	354	168
176	356	167
177	358	165
178	360	163
179	362	161
180	363	158
181	365	156
182	367	154
183	369	152
184	371	150
185	373	148
186	375	146
187	377	144
188	379	142
189	381	140
190	383	138
191	385	136
192	387	134
193	389	132
194	391	130
195	394	128
196	395	126
197	397	124
198	399	122
199	401	120
200	403	118
201	405	116
202	407	114
203	409	112
204	411	110
205	413	108
206	415	106
207	417	104
208	419	102
209	421	100
210	423	98
211	425	96
212	427	94
213	430	92
214	432	90
215	446	90
216	448	88
217	450	86
218	452	84
219	454	82
220	455	80
221	457	78
222	459	76
223	461	74
224	463	72
225	465	70
226	467	67
227	469	65
228	471	63
229	473	61
230	474	59
231	477	57
232	479	55
233	481	53
234	482	51
235	484	49
236	486	47
237	488	45
238	489	43
239	491	40
240	494	38
241	496	36
242	498	34
243	500	32
244	502	30
245	503	28
246	506	26
247	508	24
248	510	22
249	512	20
250	514	18
251	516	16
252	518	14
253	520	12
254	522	10
255	525	8
256	527	6
257	529	4
258	532	2
259	534	0
